,Audio__length,Audio__absolute_maximum,Voltage__sum_values,Voltage__mean,Voltage__standard_deviation,Voltage__variance,Voltage__maximum,Voltage__absolute_maximum,Voltage__minimum,Current__median,Current__mean,Current__length,Current__standard_deviation,Current__root_mean_square,Current__maximum
0,346240.0,3.012695,6490709.621715999,18.74627316807994,0.6735693129151752,0.4536956193010212,25.330921,25.330921,12.296329,5.724588,4.669995739128926,346240.0,3.445192337685229,5.80329306920884,34.582012
1,543360.0,3.032227,10372463.420994,19.08948656690592,0.6126773517591636,0.3753735373586219,24.665274,24.665274,14.462709,1.110331,2.9496934943058006,543360.0,3.1968871873898586,4.349802225302596,35.607403
2,445824.0,2.988281,8564896.856094003,19.21138578473569,0.489283668596539,0.2393985083552878,24.725788,24.725788,12.65941,0.670878,2.360631946294951,445824.0,2.7437527198861607,3.619497502934763,18.615213
3,508800.0,2.807617,9815869.781505002,19.292196897612037,0.4535451106810601,0.205703167422695,25.028355,25.028355,12.368945,0.670878,1.9585792186202828,508800.0,2.479324523036411,3.1596016594091365,20.51951
4,586368.0,3.017578,11152664.885080997,19.019907097728726,0.7055880872362451,0.497854548849703,25.028355,25.028355,10.844007,0.890604,3.0419972509635578,586368.0,3.854590917717443,4.910358277948733,37.804668
5,564608.0,2.978516,10820424.782019002,19.164490729885163,0.4507858452723596,0.2032078782979157,24.701582,24.701582,12.792539,0.670878,2.21870946025384,564608.0,2.5270535799845604,3.362836818094608,18.908182
6,416128.0,2.978516,7878193.976977999,18.932141016653528,0.7084341759330417,0.501878981629928,24.786301,24.786301,12.816745,1.183573,3.234812843673101,416128.0,3.909797729129633,5.074498242811765,37.804668
7,460672.0,3.041992,8825123.797319999,19.157065758978185,0.4811004518833355,0.2314576448023496,24.132755,24.132755,15.213077,0.670878,2.193680818979665,460672.0,2.6726929240761503,3.4576759538693054,16.564432
8,519040.0,2.988281,9862715.374036,19.0018406558955,0.5846769558453124,0.3418471426965415,24.459528,24.459528,14.741072,0.890604,2.889159567357045,519040.0,3.0774886697139503,4.221158551614531,32.677715
9,471680.0,2.993164,8856848.153049,18.77723913044649,0.5321508201478695,0.2831844953840501,24.24168,24.24168,14.32958,4.332987,3.8113934790747943,471680.0,2.807407344636496,4.733735971835862,35.241192
10,433792.0,2.998047,8260480.954646002,19.042492610850363,0.6712578283840615,0.4505870721668861,24.290091,24.290091,13.676035,0.670878,2.5690663116539723,433792.0,3.691864253148884,4.4977731576141,37.804668
11,427904.0,3.007812,8193313.178402998,19.147549867266957,0.4791971423746756,0.2296299012600551,24.302193,24.302193,15.297795,0.670878,1.9938279930778868,427904.0,2.6539644513831004,3.319469441821417,15.172831
12,524160.0,2.993164,9958205.910985002,18.998408712959787,0.5339504248694719,0.2851030562182894,24.580555,24.580555,13.010387,0.817362,2.6438416926587305,524160.0,2.9752153357728544,3.980176527499572,31.945292
13,447616.0,2.978516,8327432.800021001,18.603965899389213,0.5464825216166451,0.298643146432487,24.979944,24.979944,12.986182,5.065409,4.400197296396913,447616.0,2.9000283557779136,5.269905189994848,33.190411
14,483712.0,2.998047,9135850.123072997,18.886961917572847,0.7576189766029892,0.5739865137089607,24.846813,24.846813,12.610999,0.74412,3.1700692060440927,483712.0,4.076511490796826,5.164037635969319,37.804668
15,492672.0,2.998047,9226592.866244,18.727658292421737,0.6605450791979907,0.4363198016526797,24.665274,24.665274,12.901464,3.600565,3.7080649087242623,492672.0,3.5634942816041604,5.142784932537801,31.945292
16,307584.0,2.978516,5750820.541294,18.696748014506607,0.6092478909524678,0.3711829926300301,25.088867,25.088867,11.207088,4.552713,3.749327529182274,307584.0,3.3499501932137847,5.027884566902578,33.84959
17,577664.0,2.978516,10738071.81545,18.588784856681396,0.4970354066696391,0.2470441954832535,24.302193,24.302193,13.893884,4.479471,4.087670267629625,577664.0,2.655539730265107,4.874519409734639,36.486309
18,320128.0,3.017578,5956021.045061001,18.605123716329096,0.7997473264390225,0.6395957861463644,24.665274,24.665274,13.20403,3.966776,4.281189276979832,320128.0,4.367336492132876,6.11573459699181,32.970684
19,509056.0,2.978516,9445375.987664,18.554689440187325,0.5023374950686831,0.2523429589518792,24.798403,24.798403,12.70782,4.552713,4.245515434671236,509056.0,2.738946532835476,5.052348900834458,34.728497
20,434048.0,2.978516,8258563.396588999,19.026843567045574,0.4273144805900332,0.1825976653219298,24.895226,24.895226,12.538383,0.670878,1.974489617662102,434048.0,2.402230931570796,3.1095534565031886,19.933573
21,276352.0,2.978516,5149271.172448,18.63301576412691,0.7163504421026755,0.5131579559006987,24.96784,24.96784,11.509654,4.77244,3.990643736596805,276352.0,4.0183974577764445,5.6632813422170285,37.804668
22,347008.0,2.998047,6408362.053566001,18.467476408515083,0.6501262586789587,0.4226641522239003,25.209894,25.209894,10.287283,5.138651,4.622727798993107,347008.0,3.649020278490146,5.889393966820012,37.804668
23,416128.0,2.978516,7935816.322153998,19.07061366251249,0.420220550380989,0.1765853109625013,24.895226,24.895226,12.078481,0.524393,1.699754820264438,416128.0,2.3093269028430408,2.86743041645422,19.640604
24,597888.0,2.978516,11076788.712211996,18.52652789855625,0.4508049186978365,0.203225074722163,24.895226,24.895226,12.816745,4.699198,4.227046604109801,597888.0,2.4734887096264933,4.897557492257331,31.579081
25,366464.0,2.988281,6757676.519037001,18.440219282213263,0.6757794878330977,0.4566779161759638,25.282511,25.282511,9.730559,4.992167,4.639307230811212,366464.0,3.803893962151732,5.999398374599874,37.877911
26,518272.0,3.012695,9754297.776837995,18.820807948023425,0.6584977312077317,0.4336192620057301,24.411118,24.411118,13.869678,0.670878,2.799238306927637,518272.0,3.731963632370398,4.665113894891138,35.827129
27,357760.0,2.978516,6591549.836816003,18.424502003622543,0.7090573589281159,0.5027623382501151,25.246202,25.246202,8.701831,5.065409,4.708307261217018,357760.0,3.948252832406849,6.1446609096546245,37.877911
28,338560.0,3.00293,6446784.790170998,19.04177927153532,0.4306515925591074,0.1854607941736955,24.156961,24.156961,14.075423,0.670878,1.7580053495923915,338560.0,2.377097337282491,2.956547743587269,15.758768
29,554880.0,3.041992,10478501.839046998,18.884266578443984,0.5354828253388211,0.2867418562328463,24.483734,24.483734,13.20403,0.670878,2.4367181438761527,554880.0,3.04140485873236,3.897144958481279,16.344706
30,748416.0,3.051758,14148752.791044,18.90493093552784,0.5025349322538184,0.2525413581353498,24.399015,24.399015,13.494494,0.670878,2.2343264047494986,748416.0,2.8013513576349727,3.5832644211506537,17.443338
31,499328.0,2.988281,9244313.558660006,18.513509273783978,0.521533448379165,0.2719971377782632,25.052559,25.052559,11.146574,4.699198,4.082379196323861,499328.0,2.885374277791898,4.999120385179873,35.534161
32,621184.0,2.978516,11548435.557504002,18.591006139089227,0.4338610777619086,0.1882354347967249,24.955738,24.955738,12.429459,4.11326,3.553547241351999,621184.0,2.375908609375028,4.274650829789817,30.700174
33,496256.0,3.017578,9334574.429728003,18.809998125419146,0.5458400345231567,0.2979413432882409,24.265884,24.265884,13.70024,0.670878,2.575402075499339,496256.0,3.1141821096117277,4.041141678079605,17.663065
34,408704.0,2.96875,7750346.767207,18.96322709639984,0.4814161728650076,0.2317615314959908,24.68948,24.68948,11.89694,0.524393,1.803947379790753,408704.0,2.6190264369003744,3.1801769803325395,19.347635
35,358784.0,2.978516,6615183.512216998,18.43778850845355,0.648242441874275,0.4202182634471229,25.294613,25.294613,9.403787,5.065409,4.390076112872925,358784.0,3.731324121964532,5.761557773725076,37.804668
36,408960.0,2.978516,7755618.565507999,18.96424727481416,0.4196330691653919,0.1760919127371666,24.374809,24.374809,13.385571,0.670878,1.753348309722222,408960.0,2.291439644925196,2.885294775502268,16.124979
37,544640.0,2.988281,10039346.791057004,18.432995723885508,0.4696570818810015,0.2205777745609777,24.701582,24.701582,12.405253,4.77244,4.247839895301485,544640.0,2.6355307126878813,4.99901649463532,33.84959
38,586624.0,3.037109,11030569.016347006,18.80347380323172,0.5116600043380121,0.2617959600391745,25.076765,25.076765,10.795596,0.670878,2.344141306334211,586624.0,2.915577254235461,3.741067920992273,20.006815
39,300416.0,2.993164,5680595.948106,18.909099209449565,0.6059144473209519,0.3671323174722546,24.628965,24.628965,12.961977,0.670878,2.700084044192054,300416.0,3.409134097143928,4.348867569610492,19.054667
40,219776.0,2.978516,4070223.108608,18.51987072568433,0.9377244243713304,0.8793270960625431,25.016253,25.016253,10.965034,4.992167,4.405598944607236,219776.0,4.839289000812313,6.5443120413155285,37.877911
41,476288.0,2.978516,8802739.753681999,18.481968375608872,0.6083913226898554,0.3701400015243118,24.495836,24.495836,12.34474,5.065409,4.282743317597757,476288.0,2.969158812119345,5.211314073821898,32.384747
42,300416.0,2.988281,5489249.341138999,18.27216040803086,0.913794468403196,0.8350203304842798,25.221998,25.221998,8.193519,5.871073,5.309705046182627,300416.0,4.613480350999717,7.0340008975346136,37.877911
43,325504.0,2.978516,5916559.386672001,18.176610384732605,0.7893610767876612,0.6230909095473759,25.149382,25.149382,7.648898,5.285135,4.7797637208667165,325504.0,4.251016933678436,6.396662113769529,37.877911
44,331136.0,3.022461,6133573.245479,18.522822180249204,0.7503261805248581,0.562989377181022,25.088867,25.088867,9.657944,0.74412,3.459040129004398,331136.0,4.164782106551351,5.413905116375154,34.362286
45,258944.0,2.978516,4773973.431902001,18.436316083408,0.7560838710228917,0.5716628200209606,24.943636,24.943636,9.863689,4.406229,4.175902211451125,258944.0,4.196682564276189,5.920329705759822,37.877911
46,239488.0,2.978516,4377022.999837,18.27658588253691,0.8526575792160612,0.7270249473945937,24.653172,24.653172,12.102686,5.797831,4.902440598773218,239488.0,4.629956486284852,6.743175875608692,37.877911
47,290944.0,3.00293,5362438.208639999,18.43116960184777,0.8514021972711544,0.7248857015181498,23.842291,23.842291,13.83337,0.817362,4.108677981236938,290944.0,4.535786882091747,6.12001612687882,36.339825
48,320384.0,2.993164,5924471.388926,18.491782950852727,0.8136884378362031,0.6620888738683206,24.217474,24.217474,13.893884,0.74412,3.734328606956028,320384.0,4.378287421117148,5.754529597338326,35.900372
49,233344.0,3.017578,4323457.937007001,18.528258438215683,0.7689056585357059,0.5912159117282275,24.459528,24.459528,11.945351,0.670878,3.1184417828099296,233344.0,4.390852281935741,5.385560594270115,35.973614
50,216960.0,2.988281,3987960.570357,18.38108669965431,0.9199685770581542,0.8463421827744049,25.18569,25.18569,8.532393,0.74412,3.888652379369469,216960.0,5.146266609718428,6.450246301179408,37.877911
51,212864.0,2.998047,3861611.497952,18.141214568701145,1.027513744865401,1.0557844958873204,25.294613,25.294613,7.854643,5.358377,5.057611633380938,212864.0,5.558707355243522,7.5152287320712094,37.877911
52,190080.0,2.978516,3476547.5633959994,18.289917736721375,0.8926807417669801,0.7968789067216459,24.229578,24.229578,12.719923,0.74412,4.123891848137626,190080.0,5.09548759159433,6.555187088956939,37.877911
53,189568.0,2.978516,3453500.0545730004,18.217737458711387,0.8457250031763274,0.715250780997599,24.411118,24.411118,12.502074,0.74412,4.084704264205984,189568.0,4.969128926686463,6.432499608710031,37.877911
