Current__abs_energy,Audio__mean_abs_change,Voltage__median,Current__sum_values,Current__median
12275246.238743393,0.040881968154900666,18.517109,1711697.6156230008,5.797831
11660743.585213332,0.04163695372271754,18.492905,1616939.3247159994,5.724588
10280794.6943751,0.03938651547871665,19.303783,1602745.4570659997,1.110331
5840634.195350323,0.02104187178095343,19.291681,1052426.3768250002,0.670878
5079392.450356484,0.019919220845559842,19.412708,996525.106434,0.670878
14138281.468420064,0.02889877178456497,19.267475,1783729.8440529995,0.890604
6384966.37858557,0.023749853680524687,19.267475,1252701.110935,0.670878
10715517.55332994,0.03214079035246452,19.182756,1346096.199012,1.183573
5507574.692361664,0.030862600024746507,19.231169,1010567.3302410005,0.670878
9248347.896954477,0.02967529517049778,19.206963,1499589.3818410006,0.890604
10569526.308496589,0.03761723708920685,18.638136,1797758.0762099992,4.332987
8775596.273389112,0.030072868505801185,19.231169,1114440.413465,0.670878
4715021.704351644,0.02403703547766668,19.243271,853166.9735500001,0.670878
8303640.608421058,0.023058638397890723,19.158552,1385796.061624,0.817362
12431147.108894276,0.04635462087061424,18.444492,1969598.7130240004,5.065409
12899285.619567199,0.03391322016245237,19.182756,1533400.5157940001,0.74412
13030305.751441663,0.03792915559064771,18.795471,1826859.7547109998,3.600565
7775607.627915196,0.03534693079591525,18.480801,1153233.1587360005,4.552713
13725839.341394624,0.03997941423113478,18.492905,2361299.95748,4.479471
11973494.5743062,0.036672998912931444,18.686546,1370528.5608609999,3.966776
12994280.241470698,0.040440408087534754,18.480801,2161205.105112001,4.552713
4196950.178790816,0.023839543203846597,19.134346,857023.2695670001,0.670878
8863370.144822063,0.03768405689141708,18.43239,1102822.3778960002,4.77244
12035959.049546687,0.04301254084499737,18.359774,1604123.528073,5.138651
3421469.828494745,0.022157357813840484,19.146448,707315.5738470001,0.524393
14340983.05542797,0.041896118458839185,18.420288,2527300.4400380007,4.699198
13190058.444035204,0.04524330947462637,18.359774,1700139.0850320002,4.992167
11279302.618136093,0.02918390990427788,18.989115,1450766.8358080003,0.670878
13507893.408833535,0.04376582410225879,18.335569,1684444.0057730004,5.065409
2959412.0590711604,0.02389590805443069,19.122244,595190.2911580001,0.670878
8427372.520556584,0.030906280389057798,19.013319,1352086.1636739997,0.670878
9609499.716196641,0.02966035135319308,19.013319,1672205.6305370007,0.670878
12478808.223252136,0.039502943127449563,18.371878,2038446.2393420006,4.699198
11350671.429730691,0.03621791777141358,18.456596,2207406.689572,4.11326
8104270.418378719,0.02953817036805673,18.952806,1278058.7323790002,0.670878
4133438.3775455495,0.022650622087432692,19.061729,737280.5099099999,0.524393
11910031.486446198,0.04441120905115348,18.287159,1575089.0680809994,5.065409
3404561.713052461,0.025429594030208415,19.049627,717049.3247439999,0.670878
13610643.963202704,0.04329655547986831,18.311363,2313543.520577001,4.77244
8210148.51268799,0.03194132673795606,18.940702,1375129.5496870002,0.670878
